qn,ans
yes .,but you will not . . . be safe . . .
oh nice save .,i was desperate . it was gross .
i ll be back in hours .,have fun .
where s your pet gorilla and the female uncle tom ?,they re . . . around .
man s rep travels .,how bout that ?
there s another beam !,it s too far !
we should get you to the doctor .,you think so ?
liar ?,myra .
smoking or non smoking ?,non . please .
in that time you ever have sex ?,never . no cigarettes no drugs no booze .
yes .,and that mr . marsh paid less attention to you ?
i ll be around to check up on you .,why would you be there ?
the happy hunting ground . who cares ?,are you a spirit too ?
i m sorry bill,that s okay .
eight thirty .,am or pm ?
i only ask so i can call you when the arrangements are made .,how about if i call you ?
well still the same old place then eh ?,oh aye aye .
course it s too bad about your dad .,yeah .
where these tracks headed ?,nowhere . . . just straight to the ocean .
okay give me a bottle of wine .,red or white ?
hal i m going out now to replace the a .o . unit .,i understand .
uh gladys ?,what !
then why the hell are you sitting around here ?,right .
such a bargain . but that is your decision ?,i m sorry . it is .
now i d like to be alone .,oh . okay .
ramn you can t .,why not ? i m not needed here .
it s gonna cost over nine hundred dollars to open the place delly .,nine hundred . . .
had you .,no you didn t .
austin may i have a word with you ?,of course luv .
because god loves a winner .,he used to love losers . but the laws of physics changed .
so what are you doing now ?,whatever i can get away with .
yes .,sounds like a stall to me .
no sir .,this gentleman or myself ?
pows . and their families .,so i m supposed to be . . .
too late for what ?,i don t know . . . too late to stop it .
mordechai . thank god you re here .,what s up ?
of course i like women . . . i love em .,you don t love me .
that s very generous of you .,yes .
he s dead rose . your father passed .,how can that be ? he was getting better .
whose is the car ?,mine .
yeah are you ?,yeah .
i don t want to mess anyone up . . .,give me a c . a c !
two o clock .,where s my dress ? i have to go home .
and you ?,hashish . ninety percent of the foreigners are in for hashish .
. . . like we re being watched .,away put your weapon . i mean you no harm .
no i won t let you do it .,alex what are you doing ?
sir you talked about opening up the whole bay of pigs thing again .,that s right . . .
no way,read em both and you ll see
i m sorry it s just you hear stories .,you did the right thing .
any dizziness ?,no .
so ?,what sir ?
gulls !,they re back !
i mean we get paid tonight don t we ?,yeah . why ?
breaking out,breaking out
i m serious wade . this case is important to me .,you want to be a good detective ?
i m cynthia bishop .,do i know you ?
they re watching .,wha . . . ?
you abide by rules like that ?,ahm . . .
no go,you look good richard .
i don t want to waste your time .,then don t .
come on .,play it ! come on !
mr . massey,please ! no calls ! i m feeling very fragile .
quick !,why ?
i m your friend .,i ve wanted a friend .
what s nels number ?,.
i m a werewolf .,a werewolf ?
dad ?,delly ? in here .
me too .,sure you won t change your mind ?
jesus .,hell . it s been four days !
i think i just broke my hand .,harder . remember i killed your buddy .
what do you think ?,looks like detroit .
just like that ?,yeah . just like that .
no .,where ?
i think so .,where s the shell ?
come on old pete .,come on !
tell me the words .,the words ?
do you care about me ?,of course i do .
will you ?,i said i would . . .
why ?,does she goddamnit ? ?
you re in one hell of a jam . you realize that ?,i m high as a kite .
is that so ?,yeah that s so .
nothing .,what d he give to you ?
rick please .,alright i think i see salvation . . .
and you re giving it to me ?,it s all yours baby .
why don t you do it yourself ?,he s lost complete faith in me
jack wait . . .,just a second that s all !
